time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      99360000000               74160000000               18000000000            56160000000            0                      18000000000            0.746377        10.800000      
2      106720000000              78320000000               18000000000            60320000000            0                      18000000000            0.733883        11.600000      
3      114080000000              82480000000               18000000000            64480000000            0                      18000000000            0.723001        12.400000      
4      121440000000              86640000000               18000000000            68640000000            0                      18000000000            0.713439        13.200000      
5      128800000000              90800000000               18000000000            72800000000            0                      18000000000            0.704969        14.000000      
6      136160000000              94960000000               18000000000            76960000000            0                      18000000000            0.697415        14.800000      
7      143520000000              99120000000               18000000000            81120000000            0                      18000000000            0.690635        15.600000      
8      150880000000              103280000000              18000000000            85280000000            0                      18000000000            0.684517        16.400000      
9      158240000000              107440000000              18000000000            89440000000            0                      18000000000            0.678969        17.200000      
10     165600000000              111600000000              18000000000            93600000000            0                      18000000000            0.673913        18.000000      
11     172960000000              115760000000              18000000000            97760000000            0                      18000000000            0.669288        18.800000      
12     180320000000              119920000000              18000000000            101920000000           0                      18000000000            0.665040        19.600000      
13     187680000000              124080000000              18000000000            106080000000           0                      18000000000            0.661125        20.400000      
14     195040000000              128240000000              18000000000            110240000000           0                      18000000000            0.657506        21.200000      
15     202400000000              132400000000              18000000000            114400000000           0                      18000000000            0.654150        22.000000      
16     209760000000              136560000000              18000000000            118560000000           0                      18000000000            0.651030        22.800000      
17     217120000000              138000000000              18000000000            120000000000           0                      18000000000            0.635593        23.600000      
18     224480000000              138000000000              18000000000            120000000000           0                      18000000000            0.614754        24.400000      
19     231840000000              138000000000              18000000000            120000000000           0                      18000000000            0.595238        25.200000      
20     239200000000              138000000000              18000000000            120000000000           0                      18000000000            0.576923        26.000000      
21     246560000000              138000000000              18000000000            120000000000           0                      18000000000            0.559701        26.800000      
22     253920000000              138000000000              18000000000            120000000000           0                      18000000000            0.543478        27.600000      
23     261280000000              138000000000              18000000000            120000000000           0                      18000000000            0.528169        28.400000      
24     268640000000              138000000000              18000000000            120000000000           0                      18000000000            0.513699        29.200000      
25     276000000000              138000000000              18000000000            120000000000           0                      18000000000            0.500000        30.000000      
26     283360000000              138000000000              18000000000            120000000000           0                      18000000000            0.487013        30.800000      
27     290720000000              138000000000              18000000000            120000000000           0                      18000000000            0.474684        31.600000      
28     298080000000              138000000000              18000000000            120000000000           0                      18000000000            0.462963        32.400000      
29     305440000000              138000000000              18000000000            120000000000           0                      18000000000            0.451807        33.200000      
30     312800000000              138000000000              18000000000            120000000000           0                      18000000000            0.441176        34.000000      
31     320160000000              138000000000              18000000000            120000000000           0                      18000000000            0.431034        34.800000      
32     327520000000              138000000000              18000000000            120000000000           0                      18000000000            0.421348        35.600000      
33     334880000000              138000000000              18000000000            120000000000           0                      18000000000            0.412088        36.400000      
34     342240000000              138000000000              18000000000            120000000000           0                      18000000000            0.403226        37.200000      
35     349600000000              138000000000              18000000000            120000000000           0                      18000000000            0.394737        38.000000      
36     356960000000              138000000000              18000000000            120000000000           0                      18000000000            0.386598        38.800000      
37     364320000000              138000000000              18000000000            120000000000           0                      18000000000            0.378788        39.600000      
38     371680000000              138000000000              18000000000            120000000000           0                      18000000000            0.371287        40.400000      
39     379040000000              138000000000              18000000000            120000000000           0                      18000000000            0.364078        41.200000      
