time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      99360000000               99360000000               43200000000            56160000000            36000000000            7200000000             1.000000        10.800000      
2      106720000000              106720000000              46400000000            60320000000            36000000000            10400000000            1.000000        11.600000      
3      114080000000              114080000000              49600000000            64480000000            31600000000            18000000000            1.000000        12.400000      
4      121440000000              121440000000              52800000000            68640000000            21600000000            31200000000            1.000000        13.200000      
5      128800000000              128800000000              56000000000            72800000000            22800000000            33200000000            1.000000        14.000000      
6      136160000000              136160000000              59200000000            76960000000            27520000000            31680000000            1.000000        14.800000      
7      143520000000              143520000000              62400000000            81120000000            24960000000            37440000000            1.000000        15.600000      
8      150880000000              150880000000              65600000000            85280000000            34720000000            30880000000            1.000000        16.400000      
9      158240000000              158240000000              68800000000            89440000000            27520000000            41280000000            1.000000        17.200000      
10     165600000000              165600000000              72000000000            93600000000            28800000000            43200000000            1.000000        18.000000      
11     172960000000              172960000000              75200000000            97760000000            32880000000            42320000000            1.000000        18.800000      
12     180320000000              180320000000              78400000000            101920000000           32320000000            46080000000            1.000000        19.600000      
13     187680000000              187680000000              81600000000            106080000000           32880000000            48720000000            1.000000        20.400000      
14     195040000000              195040000000              84800000000            110240000000           31360000000            53440000000            1.000000        21.200000      
15     202400000000              202400000000              88000000000            114400000000           34000000000            54000000000            1.000000        22.000000      
16     209760000000              208560000000              90000000000            118560000000           36000000000            54000000000            0.994279        22.800000      
17     217120000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.967207        23.600000      
18     224480000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.935495        24.400000      
19     231840000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.905797        25.200000      
20     239200000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.877926        26.000000      
21     246560000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.851720        26.800000      
22     253920000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.827032        27.600000      
23     261280000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.803735        28.400000      
24     268640000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.781715        29.200000      
25     276000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.760870        30.000000      
26     283360000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.741107        30.800000      
27     290720000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.722345        31.600000      
28     298080000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.704509        32.400000      
29     305440000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.687533        33.200000      
30     312800000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.671355        34.000000      
31     320160000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.655922        34.800000      
32     327520000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.641182        35.600000      
33     334880000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.627090        36.400000      
34     342240000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.613604        37.200000      
35     349600000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.600686        38.000000      
36     356960000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.588301        38.800000      
37     364320000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.576416        39.600000      
38     371680000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.565002        40.400000      
39     379040000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.554031        41.200000      
40     386400000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.543478        42.000000      
41     393760000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.533320        42.800000      
42     401120000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.523534        43.600000      
43     408480000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.514101        44.400000      
44     415840000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.505002        45.200000      
45     423200000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.496219        46.000000      
46     430560000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.487737        46.800000      
47     437920000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.479540        47.600000      
48     445280000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.471613        48.400000      
49     452640000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.463945        49.200000      
50     460000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.456522        50.000000      
51     467360000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.449332        50.800000      
52     474720000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.442366        51.600000      
53     482080000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.435612        52.400000      
54     489440000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.429062        53.200000      
55     496800000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.422705        54.000000      
56     504160000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.416534        54.800000      
57     511520000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.410541        55.600000      
58     518880000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.404718        56.400000      
59     526240000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.399057        57.200000      
60     533600000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.393553        58.000000      
61     540960000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.388199        58.800000      
62     548320000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.382988        59.600000      
63     555680000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.377915        60.400000      
64     563040000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.372975        61.200000      
65     570400000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.368163        62.000000      
66     577760000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.363473        62.800000      
67     585120000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.358901        63.600000      
68     592480000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.354442        64.400000      
69     599840000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.350093        65.200000      
70     607200000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.345850        66.000000      
71     614560000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.341708        66.800000      
72     621920000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.337664        67.600000      
73     629280000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.333715        68.400000      
74     636640000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.329857        69.200000      
75     644000000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.326087        70.000000      
76     651360000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.322402        70.800000      
77     658720000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.318800        71.600000      
78     666080000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.315277        72.400000      
79     673440000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.311832        73.200000      
80     680800000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.308461        74.000000      
81     688160000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.305162        74.800000      
82     695520000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.301932        75.600000      
83     702880000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.298771        76.400000      
84     710240000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.295675        77.200000      
85     717600000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.292642        78.000000      
86     724960000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.289671        78.800000      
87     732320000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.286760        79.600000      
88     739680000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.283907        80.400000      
89     747040000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.281109        81.200000      
90     754400000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.278367        82.000000      
91     761760000000              210000000000              90000000000            120000000000           36000000000            54000000000            0.275677        82.800000      
