time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      252517573945              210000000000              90000000000            120000000000           36000000000            54000000000            0.831625        0.001190       
2      246962691743              210000000000              90000000000            120000000000           36000000000            54000000000            0.850331        0.001380       
3      242125487236              210000000000              90000000000            120000000000           36000000000            54000000000            0.867319        0.001570       
4      237841555122              210000000000              90000000000            120000000000           36000000000            54000000000            0.882941        0.001760       
5      233997221490              210000000000              90000000000            120000000000           36000000000            54000000000            0.897447        0.001950       
6      230510604373              210000000000              90000000000            120000000000           36000000000            54000000000            0.911021        0.002140       
7      227320762928              210000000000              90000000000            120000000000           36000000000            54000000000            0.923805        0.002330       
8      224381114155              210000000000              90000000000            120000000000           36000000000            54000000000            0.935908        0.002520       
9      221655249153              210000000000              90000000000            120000000000           36000000000            54000000000            0.947417        0.002710       
10     219114170325              210000000000              90000000000            120000000000           36000000000            54000000000            0.958404        0.002900       
11     216734407053              210000000000              90000000000            120000000000           36000000000            54000000000            0.968928        0.003090       
12     214496694622              210000000000              90000000000            120000000000           36000000000            54000000000            0.979036        0.003280       
13     212385025688              210000000000              90000000000            120000000000           36000000000            54000000000            0.988770        0.003470       
14     210385954934              210000000000              90000000000            120000000000           36000000000            54000000000            0.998165        0.003660       
15     208488079901              208488079901              88488079901            120000000000           36000000000            52488079901            1.000000        0.003850       
16     206681647013              206681647013              86681647013            120000000000           36000000000            50681647013            1.000000        0.004040       
17     204958248222              204958248222              84958248222            120000000000           36000000000            48958248222            1.000000        0.004230       
18     203310584358              203310584358              83310584358            120000000000           36000000000            47310584358            1.000000        0.004420       
19     201732278324              201732278324              81732278324            120000000000           36000000000            45732278324            1.000000        0.004610       
20     200217726040              200217726040              80217726040            120000000000           36000000000            44217726040            1.000000        0.004800       
21     198761976346              198761976346              78761976346            120000000000           36000000000            42761976346            1.000000        0.004990       
22     197360633352              197360633352              77360633352            120000000000           36000000000            41360633352            1.000000        0.005180       
23     196009776392              196009776392              76009776392            120000000000           36000000000            40009776392            1.000000        0.005370       
24     194705893902              194705893902              74705893902            120000000000           36000000000            38705893902            1.000000        0.005560       
25     193445828406              193445828406              73445828406            120000000000           36000000000            37445828406            1.000000        0.005750       
26     192226730460              192226730460              72226730460            120000000000           36000000000            36226730460            1.000000        0.005940       
27     191046019839              191046019839              71046019839            120000000000           36000000000            35046019839            1.000000        0.006130       
28     189901352656              189901352656              69901352656            120000000000           36000000000            33901352656            1.000000        0.006320       
29     188790593354              188790593354              68790593354            120000000000           36000000000            32790593354            1.000000        0.006510       
30     187711790722              187711790722              67711790722            120000000000           36000000000            31711790722            1.000000        0.006700       
31     186663157273              186663157273              66663157273            120000000000           30663157273            36000000000            1.000000        0.006890       
32     185643051423              185643051423              65643051423            120000000000           36000000000            29643051423            1.000000        0.007080       
33     184649962029              184649962029              64649962029            120000000000           36000000000            28649962029            1.000000        0.007270       
34     183682494929              183682494929              63682494929            120000000000           36000000000            27682494929            1.000000        0.007460       
35     182739361168              182739361168              62739361168            120000000000           36000000000            26739361168            1.000000        0.007650       
36     181819366673              181819366673              61819366673            120000000000           36000000000            25819366673            1.000000        0.007840       
37     180921403163              180921403163              60921403163            120000000000           36000000000            24921403163            1.000000        0.008030       
38     180044440122              180044440122              60044440122            120000000000           36000000000            24044440122            1.000000        0.008220       
39     179187517687              179187517687              59187517687            120000000000           36000000000            23187517687            1.000000        0.008410       
40     178349740340              178349740340              58349740340            120000000000           36000000000            22349740340            1.000000        0.008600       
41     177530271273              177530271273              57530271273            120000000000           36000000000            21530271273            1.000000        0.008790       
42     176728327375              176728327375              56728327375            120000000000           36000000000            20728327375            1.000000        0.008980       
43     175943174727              175943174727              55943174727            120000000000           36000000000            19943174727            1.000000        0.009170       
44     175174124568              175174124568              55174124568            120000000000           36000000000            19174124568            1.000000        0.009360       
45     174420529668              174420529668              54420529668            120000000000           36000000000            18420529668            1.000000        0.009550       
46     173681781050              173681781050              53681781050            120000000000           35681781050            18000000000            1.000000        0.009740       
47     172957305035              172957305035              52957305035            120000000000           34957305035            18000000000            1.000000        0.009930       
48     172246560567              172246560567              52246560567            120000000000           34246560567            18000000000            1.000000        0.010120       
49     171549036786              171549036786              51549036786            120000000000           33549036786            18000000000            1.000000        0.010310       
50     170864250818              170864250818              50864250818            120000000000           32864250818            18000000000            1.000000        0.010500       
51     170191745773              170191745773              50191745773            120000000000           28800000000            21391745773            1.000000        0.010690       
52     169531088908              169531088908              49531088908            120000000000           21600000000            27931088908            1.000000        0.010880       
53     168881869960              168881869960              48881869960            120000000000           30881869960            18000000000            1.000000        0.011070       
54     168243699610              168243699610              48243699610            120000000000           30243699610            18000000000            1.000000        0.011260       
55     167616208087              167616208087              47616208087            120000000000           29616208087            18000000000            1.000000        0.011450       
56     166999043875              166999043875              46999043875            120000000000           28999043875            18000000000            1.000000        0.011640       
57     166391872537              166391872537              46391872537            120000000000           28391872537            18000000000            1.000000        0.011830       
58     165794375620              165794375620              45794375620            120000000000           21600000000            24194375620            1.000000        0.012020       
59     165206249657              165206249657              45206249657            120000000000           27206249657            18000000000            1.000000        0.012210       
60     164627205239              164627205239              44627205239            120000000000           26647808733            17979396505            1.000000        0.012400       
61     164056966160              164056966160              44056966160            120000000000           26056966160            18000000000            1.000000        0.012590       
62     163495268626              163495268626              43495268626            120000000000           25495268626            18000000000            1.000000        0.012780       
63     162941860525              162941860525              42941860525            120000000000           22306046526            20635813999            1.000000        0.012970       
64     162396500741              162396500741              42396500741            120000000000           28261865452            14134635289            1.000000        0.013160       
65     161858958530              161858958530              41858958530            120000000000           26315375118            15543583412            1.000000        0.013350       
66     161329012931              161329012931              41329012931            120000000000           28063858405            13265154526            1.000000        0.013540       
67     160806452220              160806452220              40806452220            120000000000           27724193943            13082258277            1.000000        0.013730       
68     160291073403              160291073403              40291073403            120000000000           26600840648            13690232755            1.000000        0.013920       
69     159782681742              159782681742              39782681742            120000000000           26667435863            13115245879            1.000000        0.014110       
70     159281090314              159281090314              39281090314            120000000000           26361465092            12919625223            1.000000        0.014300       
71     158786119599              158786119599              38786119599            120000000000           26059532956            12726586644            1.000000        0.014490       
72     158297597092              158297597092              38297597092            120000000000           26425341994            11872255099            1.000000        0.014680       
73     157815356944              157815356944              37815356944            120000000000           25729524903            12085832042            1.000000        0.014870       
74     157339239623              157339239623              37339239623            120000000000           23976936170            13362303453            1.000000        0.015060       
75     156869091597              156869091597              36869091597            120000000000           26660727479            10208364118            1.000000        0.015250       
76     156404765039              156404765039              36404765039            120000000000           25550716072            10854048967            1.000000        0.015440       
77     155946117546              155946117546              35946117546            120000000000           26610903475            9335214071             1.000000        0.015630       
78     155493011874              155493011874              35493011874            120000000000           21600000000            13893011874            1.000000        0.015820       
79     155045315699              155045315699              35045315699            120000000000           25720845222            9324470477             1.000000        0.016010       
80     154602901378              154602901378              34602901378            120000000000           21600000000            13002901378            1.000000        0.016200       
81     154165645733              154165645733              34165645733            120000000000           26691227665            7474418068             1.000000        0.016390       
82     153733429848              153733429848              33733429848            120000000000           25117377730            8616052118             1.000000        0.016580       
