time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      336690098593              210000000000              90000000000            120000000000           36000000000            54000000000            0.623719        0.001190       
2      329283588991              210000000000              90000000000            120000000000           36000000000            54000000000            0.637748        0.001380       
3      322833982981              210000000000              90000000000            120000000000           36000000000            54000000000            0.650489        0.001570       
4      317122073497              210000000000              90000000000            120000000000           36000000000            54000000000            0.662206        0.001760       
5      311996295320              210000000000              90000000000            120000000000           36000000000            54000000000            0.673085        0.001950       
6      307347472497              210000000000              90000000000            120000000000           36000000000            54000000000            0.683266        0.002140       
7      303094350570              210000000000              90000000000            120000000000           36000000000            54000000000            0.692854        0.002330       
8      299174818873              210000000000              90000000000            120000000000           36000000000            54000000000            0.701931        0.002520       
9      295540332205              210000000000              90000000000            120000000000           36000000000            54000000000            0.710563        0.002710       
10     292152227099              210000000000              90000000000            120000000000           36000000000            54000000000            0.718803        0.002900       
11     288979209404              210000000000              90000000000            120000000000           36000000000            54000000000            0.726696        0.003090       
12     285995592829              210000000000              90000000000            120000000000           36000000000            54000000000            0.734277        0.003280       
13     283180034251              210000000000              90000000000            120000000000           36000000000            54000000000            0.741578        0.003470       
14     280514606578              210000000000              90000000000            120000000000           36000000000            54000000000            0.748624        0.003660       
15     277984106534              210000000000              90000000000            120000000000           36000000000            54000000000            0.755439        0.003850       
16     275575529350              210000000000              90000000000            120000000000           36000000000            54000000000            0.762042        0.004040       
17     273277664296              210000000000              90000000000            120000000000           36000000000            54000000000            0.768449        0.004230       
18     271080779145              210000000000              90000000000            120000000000           36000000000            54000000000            0.774677        0.004420       
19     268976371099              210000000000              90000000000            120000000000           36000000000            54000000000            0.780738        0.004610       
20     266956968053              210000000000              90000000000            120000000000           36000000000            54000000000            0.786644        0.004800       
21     265015968461              210000000000              90000000000            120000000000           36000000000            54000000000            0.792405        0.004990       
22     263147511136              210000000000              90000000000            120000000000           36000000000            54000000000            0.798031        0.005180       
23     261346368523              210000000000              90000000000            120000000000           36000000000            54000000000            0.803531        0.005370       
24     259607858536              210000000000              90000000000            120000000000           36000000000            54000000000            0.808912        0.005560       
25     257927771209              210000000000              90000000000            120000000000           36000000000            54000000000            0.814181        0.005750       
26     256302307280              210000000000              90000000000            120000000000           36000000000            54000000000            0.819345        0.005940       
