time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      252517573945              119007029578              18000000000            101007029578           0                      18000000000            0.471282        0.001190       
2      246962691743              116785076697              18000000000            98785076697            0                      18000000000            0.472886        0.001380       
3      242125487236              114850194894              18000000000            96850194894            0                      18000000000            0.474342        0.001570       
4      237841555122              113136622049              18000000000            95136622049            0                      18000000000            0.475681        0.001760       
5      233997221490              111598888596              18000000000            93598888596            0                      18000000000            0.476924        0.001950       
6      230510604373              110204241749              18000000000            92204241749            0                      18000000000            0.478088        0.002140       
7      227320762928              108928305171              18000000000            90928305171            0                      18000000000            0.479183        0.002330       
8      224381114155              138000000000              18000000000            120000000000           0                      18000000000            0.615025        0.002520       
9      221655249153              138000000000              18000000000            120000000000           0                      18000000000            0.622588        0.002710       
10     219114170325              138000000000              18000000000            120000000000           0                      18000000000            0.629809        0.002900       
11     216734407053              138000000000              18000000000            120000000000           0                      18000000000            0.636724        0.003090       
12     214496694622              138000000000              18000000000            120000000000           0                      18000000000            0.643367        0.003280       
13     212385025688              138000000000              18000000000            120000000000           0                      18000000000            0.649763        0.003470       
14     210385954934              138000000000              18000000000            120000000000           0                      18000000000            0.655937        0.003660       
15     208488079901              138000000000              18000000000            120000000000           0                      18000000000            0.661908        0.003850       
16     206681647013              138000000000              18000000000            120000000000           0                      18000000000            0.667694        0.004040       
17     204958248222              138000000000              18000000000            120000000000           0                      18000000000            0.673308        0.004230       
18     203310584358              138000000000              18000000000            120000000000           0                      18000000000            0.678764        0.004420       
19     201732278324              138000000000              18000000000            120000000000           0                      18000000000            0.684075        0.004610       
20     200217726040              138000000000              18000000000            120000000000           0                      18000000000            0.689250        0.004800       
21     198761976346              138000000000              18000000000            120000000000           0                      18000000000            0.694298        0.004990       
22     197360633352              138000000000              18000000000            120000000000           0                      18000000000            0.699228        0.005180       
23     196009776392              138000000000              18000000000            120000000000           0                      18000000000            0.704047        0.005370       
