time   required_computation      processed_computation     high_level_computation access_server_computation  level_2_computation    level_3_computation    efficiency      changing_factor
1      74520000000               60120000000               18000000000            42120000000            0                      18000000000            0.806763        10.800000      
2      80040000000               63240000000               18000000000            45240000000            0                      18000000000            0.790105        11.600000      
3      85560000000               66360000000               18000000000            48360000000            0                      18000000000            0.775596        12.400000      
4      91080000000               69480000000               18000000000            51480000000            0                      18000000000            0.762846        13.200000      
5      96600000000               72600000000               18000000000            54600000000            0                      18000000000            0.751553        14.000000      
6      102120000000              75720000000               18000000000            57720000000            0                      18000000000            0.741481        14.800000      
7      107640000000              78840000000               18000000000            60840000000            0                      18000000000            0.732441        15.600000      
8      113160000000              81960000000               18000000000            63960000000            0                      18000000000            0.724284        16.400000      
9      118680000000              85080000000               18000000000            67080000000            0                      18000000000            0.716886        17.200000      
10     124200000000              88200000000               18000000000            70200000000            0                      18000000000            0.710145        18.000000      
11     129720000000              91320000000               18000000000            73320000000            0                      18000000000            0.703978        18.800000      
12     135240000000              94440000000               18000000000            76440000000            0                      18000000000            0.698314        19.600000      
13     140760000000              97560000000               18000000000            79560000000            0                      18000000000            0.693095        20.400000      
14     146280000000              100680000000              18000000000            82680000000            0                      18000000000            0.688269        21.200000      
15     151800000000              103800000000              18000000000            85800000000            0                      18000000000            0.683794        22.000000      
16     157320000000              106920000000              18000000000            88920000000            0                      18000000000            0.679634        22.800000      
17     162840000000              110040000000              18000000000            92040000000            0                      18000000000            0.675755        23.600000      
18     168360000000              113160000000              18000000000            95160000000            0                      18000000000            0.672131        24.400000      
19     173880000000              116280000000              18000000000            98280000000            0                      18000000000            0.668737        25.200000      
20     179400000000              119400000000              18000000000            101400000000           0                      18000000000            0.665552        26.000000      
21     184920000000              122520000000              18000000000            104520000000           0                      18000000000            0.662557        26.800000      
22     190440000000              125640000000              18000000000            107640000000           0                      18000000000            0.659735        27.600000      
23     195960000000              128760000000              18000000000            110760000000           0                      18000000000            0.657073        28.400000      
24     201480000000              131880000000              18000000000            113880000000           0                      18000000000            0.654556        29.200000      
25     207000000000              135000000000              18000000000            117000000000           0                      18000000000            0.652174        30.000000      
26     212520000000              138000000000              18000000000            120000000000           0                      18000000000            0.649351        30.800000      
27     218040000000              138000000000              18000000000            120000000000           0                      18000000000            0.632911        31.600000      
28     223560000000              138000000000              18000000000            120000000000           0                      18000000000            0.617284        32.400000      
29     229080000000              138000000000              18000000000            120000000000           0                      18000000000            0.602410        33.200000      
30     234600000000              138000000000              18000000000            120000000000           0                      18000000000            0.588235        34.000000      
31     240120000000              138000000000              18000000000            120000000000           0                      18000000000            0.574713        34.800000      
32     245640000000              138000000000              18000000000            120000000000           0                      18000000000            0.561798        35.600000      
33     251160000000              138000000000              18000000000            120000000000           0                      18000000000            0.549451        36.400000      
34     256680000000              138000000000              18000000000            120000000000           0                      18000000000            0.537634        37.200000      
35     262200000000              138000000000              18000000000            120000000000           0                      18000000000            0.526316        38.000000      
36     267720000000              138000000000              18000000000            120000000000           0                      18000000000            0.515464        38.800000      
37     273240000000              138000000000              18000000000            120000000000           0                      18000000000            0.505051        39.600000      
38     278760000000              138000000000              18000000000            120000000000           0                      18000000000            0.495050        40.400000      
39     284280000000              138000000000              18000000000            120000000000           0                      18000000000            0.485437        41.200000      
40     289800000000              138000000000              18000000000            120000000000           0                      18000000000            0.476190        42.000000      
41     295320000000              138000000000              18000000000            120000000000           0                      18000000000            0.467290        42.800000      
42     300840000000              138000000000              18000000000            120000000000           0                      18000000000            0.458716        43.600000      
43     306360000000              138000000000              18000000000            120000000000           0                      18000000000            0.450450        44.400000      
44     311880000000              138000000000              18000000000            120000000000           0                      18000000000            0.442478        45.200000      
45     317400000000              138000000000              18000000000            120000000000           0                      18000000000            0.434783        46.000000      
46     322920000000              138000000000              18000000000            120000000000           0                      18000000000            0.427350        46.800000      
47     328440000000              138000000000              18000000000            120000000000           0                      18000000000            0.420168        47.600000      
48     333960000000              138000000000              18000000000            120000000000           0                      18000000000            0.413223        48.400000      
49     339480000000              138000000000              18000000000            120000000000           0                      18000000000            0.406504        49.200000      
